Date,Open,High,Low,Close,Adj Close,Volume
2008-10-01,10.55,10.74,10.22,10.41,9.634611,13930200
2008-10-02,10.48,10.48,9.28,9.33,8.635056,19693200
2008-10-03,9.48,9.75,8.97,9.03,8.3574,22895700
2008-10-06,8.6,8.62,7.31,7.85,7.265296,41936000
2008-10-07,8.13,8.15,7.18,7.24,6.700728,26499600
2008-10-08,6.98,7.82,6.91,7.39,6.839557000000001,30486400
2008-10-09,7.66,7.77,6.84,6.92,6.404565,22740900
2008-10-10,6.32,7.33,6.28,6.81,6.302759,30006300
2008-10-13,7.39,8.06,7.3,8.05,7.4503960000000005,22913400
2008-10-14,8.35,8.4,7.65,7.87,7.283803999999999,30225300
2008-10-15,7.82,7.86,7.02,7.02,6.497116,21351600
2008-10-16,7.23,7.74,6.9,7.7,7.126466000000001,25495500
2008-10-17,7.48,8.09,7.34,7.65,7.080191,20985400
2008-10-20,7.91,7.97,7.61,7.8,7.219017999999999,14894100
2008-10-21,7.65,7.73,7.16,7.2,6.663709,16477900
2008-10-22,7.1,7.4,6.74,6.93,6.413819999999999,15024900
2008-10-23,6.91,7.08,6.26,6.54,6.0528699999999995,20804800
2008-10-24,6.0,6.95,5.97,6.61,6.117656,19958400
2008-10-27,6.57,7.38,6.36,6.97,6.45084,17473400
2008-10-28,7.34,8.03,7.21,8.02,7.422632000000001,21248000
2008-10-29,7.97,8.8,7.93,8.28,7.663266,24432100
2008-10-30,8.75,8.8,8.1,8.63,7.987197999999999,16429400
2008-10-31,8.36,8.93,8.34,8.76,8.107513,15216800
2008-11-03,8.95,9.11,8.3,8.44,7.811349000000001,18098100
2008-11-04,8.73,8.98,8.5,8.98,8.311127,15489000
2008-11-05,8.65,8.9,8.51,8.51,7.876133,19690500
2008-11-06,8.01,8.31,7.6,7.62,7.052426,19948400
2008-11-07,8.68,9.07,8.1,8.72,8.070494,28301700
2008-11-10,9.05,9.1,7.97,8.16,7.552205000000001,14409900
2008-11-11,8.04,8.1,7.72,7.8,7.219017999999999,14412100
2008-11-12,7.56,7.74,7.25,7.34,6.7932809999999995,16152300
2008-11-13,7.0,7.95,6.86,7.94,7.348591000000001,19930700
2008-11-14,7.62,7.66,7.14,7.17,6.635944,18525600
2008-11-17,7.1,7.29,6.95,7.02,6.497116,9705600
2008-11-18,7.16,7.2,6.56,6.79,6.284248000000001,14112200
2008-11-19,6.73,6.9,6.2,6.23,5.765961,12505500
2008-11-20,6.18,6.49,5.83,5.9,5.460539,21175900
