date,open,high,low,close,adj_close
2017-12-29,190.56,190.81,187.01,187.41,187.41
2017-12-28,190.5,190.8299,189.62,190.55,190.55
2017-12-27,189.96,191.62,188.5501,190.42,190.42
2017-12-26,191.31,191.46,189.29,189.54,189.54
2017-12-22,190.92,191.8,190.06,191.64,191.64
2017-12-21,194.95,195.65,190.05,190.63,190.63
2017-12-20,193.82,194.865,192.31,193.69,193.69
2017-12-19,190.91,194.01,190.705,193.89,193.89
2017-12-18,190.01,191.375,189.05,190.07,190.07
2017-12-15,189.42,191.22,188.14,188.71,188.71
2017-12-14,193.53,194.74,188.1825,188.44,188.44
2017-12-13,193.02,193.86,191.7401,193.06,193.06
2017-12-12,194.06,195.13,192.44,192.94,192.94
2017-12-11,191.36,193.84,191.08,193.43,193.43
2017-12-08,188.01,191.4,187.95,191.36,191.36
2017-12-07,187.54,190.53,187.54,187.91,187.91
2017-12-06,187.71,189.26,186.72,187.0,187.0
2017-12-05,189.2,193.03,187.34,187.96,187.96
2017-12-04,196.52,196.54,189.45,189.57,189.57
2017-12-01,195.0,195.26,189.26,194.6,194.6
2017-11-30,195.15,196.18,193.08,194.84,194.84
2017-11-29,197.86,198.82,193.0,194.15,194.15
2017-11-28,198.71,199.0599,194.61,197.33,197.33
2017-11-27,199.98,200.28,198.09,198.45,198.45
2017-11-24,199.63,199.98,198.5588,199.74,199.74
2017-11-22,199.7,199.75,197.01,198.86,198.86
2017-11-21,197.22,199.61,196.31,199.58,199.58
2017-11-20,200.0,200.0,195.11,195.59,195.59
2017-11-17,194.56,194.88,191.44,194.32,194.32
2017-11-16,193.79,196.48,193.36,194.91,194.91
2017-11-15,193.61,194.17,190.07,193.11,193.11
2017-11-14,195.0,196.08,193.11,193.75,193.75
2017-11-13,193.36,196.0,193.36,195.13,195.13
2017-11-10,195.53,196.2,193.59,195.21,195.21
2017-11-09,196.93,197.28,194.83,195.54,195.54
2017-11-07,197.11,198.0,194.95,197.21,197.21
2017-11-06,195.18,198.29,195.14,196.55,196.55
2017-11-03,190.33,195.02,190.33,194.9,194.9
2017-11-02,189.82,193.29,189.77,190.05,190.05
2017-11-01,192.98,194.42,188.12,188.89,188.89
2017-10-31,180.12,193.95,180.12,192.92,192.92
2017-10-30,179.56,180.12,177.4,179.48,179.48
2017-10-27,182.02,183.96,180.04,181.07,181.07
2017-10-26,177.0,180.15,170.3,179.59,179.59
2017-10-25,176.72,176.72,164.8,171.37,171.37
2017-10-24,175.8,177.11,174.49,176.71,176.71
2017-10-23,174.98,177.755,174.53,176.0,176.0
2017-10-20,173.4,175.79,172.27,174.62,174.62
2017-10-19,173.0,173.37,170.57,172.21,172.21
2017-10-18,172.97,173.75,171.91,172.95,172.95
2017-10-17,171.0,172.64,170.938,172.47,172.47
2017-10-16,171.66,172.92,170.1,170.55,170.55
2017-10-13,172.6,175.48,172.12,173.85,173.85
