date,open,high,low,close,adj_close
2017-12-29,57.6,57.765,57.07,57.07,57.07
2017-12-28,57.44,57.69,57.37,57.46,57.46
2017-12-27,57.09,57.6,57.05,57.47,57.47
2017-12-26,57.01,57.245,56.9,57.0,57.0
2017-12-22,57.1,57.3243,56.76,56.93,56.93
2017-12-21,57.15,57.27,56.74,56.93,56.93
2017-12-20,56.73,57.3,56.395,57.02,57.02
2017-12-19,56.65,56.945,56.45,56.8,56.8
2017-12-18,55.59,56.52,55.42,56.4,56.4
2017-12-15,55.01,55.56,54.84,55.5,55.5
2017-12-14,55.03,55.22,54.63,54.73,54.73
2017-12-13,55.67,55.76,54.8,55.06,55.06
2017-12-12,55.45,55.87,55.155,55.7,55.7
2017-12-11,54.77,55.12,54.48,54.94,54.94
2017-12-08,54.66,54.85,54.325,54.64,54.64
2017-12-07,54.76,54.94,54.35,54.69,54.69
2017-12-06,54.87,55.112,54.32,54.66,54.66
2017-12-05,54.64,55.32,54.34,54.79,54.79
2017-12-04,56.14,56.2,54.69,54.71,54.71
2017-12-01,56.3,56.68,55.27,55.98,55.98
2017-11-30,55.67,56.46,55.31,56.37,56.37
2017-11-29,56.09,56.3,55.38,55.58,55.58
2017-11-28,56.3,56.3,55.575,56.02,56.02
2017-11-27,56.17,56.52,56.01,56.15,56.15
2017-11-24,55.85,56.19,55.74,56.13,56.13
2017-11-22,56.03,56.15,55.57,55.8,55.8
2017-11-21,55.45,56.32,55.44,56.12,56.12
2017-11-20,55.66,55.6784,55.13,55.29,55.29
2017-11-17,55.29,55.71,55.22,55.56,55.56
2017-11-16,55.11,55.84,54.86,55.54,55.54
2017-11-15,54.78,55.08,54.54,54.83,54.83
2017-11-14,55.05,55.21,54.76,55.01,55.01
2017-11-13,54.69,55.37,54.56,55.3,55.3
2017-11-10,55.23,55.32,54.37,54.8,54.8
2017-11-09,55.06,55.5,54.91,55.45,55.45
2017-11-07,55.15,55.26,54.67,55.16,55.16
2017-11-03,54.57,55.5,54.47,55.47,55.47
2017-11-02,54.05,54.65,53.96,54.37,54.37
2017-11-01,53.89,54.57,53.6101,54.0,54.0
2017-10-31,54.48,54.54,54.03,54.23,54.23
2017-10-30,55.18,55.3069,54.055,54.29,54.29
2017-10-27,55.49,55.62,55.18,55.37,55.37
2017-10-26,55.34,55.69,55.08,55.48,55.48
2017-10-25,55.38,55.88,55.19,55.5,55.5
2017-10-24,56.0,56.07,55.18,55.38,55.38
2017-10-23,56.21,56.685,56.07,56.08,56.08
2017-10-20,56.17,56.44,55.94,56.32,56.32
2017-10-19,55.9,56.18,55.41,56.0,56.0
2017-10-18,55.18,56.6,54.92,55.77,55.77
2017-10-17,54.59,55.23,54.4,55.06,55.06
2017-10-16,54.62,54.91,54.5223,54.63,54.63
2017-10-13,54.64,54.79,54.45,54.65,54.65
2017-10-12,54.24,54.73,54.11,54.71,54.71
2017-10-11,55.26,55.35,54.32,54.44,54.1775788995
2017-10-10,54.77,55.43,54.53,55.4,55.132951341519
2017-10-09,55.05,55.05,54.61,54.66,54.396518417462
2017-10-06,54.9,55.0596,54.51,55.0,54.734879490678
2017-10-05,54.37,55.11,54.35,54.92,54.655265120509
2017-10-04,53.67,54.34,53.611,54.34,54.078060936789
2017-10-03,53.75,53.995,53.7,53.75,53.490904956799
2017-10-02,53.64,53.7,53.195,53.68,53.421242382901
2017-09-29,53.64,53.79,53.29,53.36,53.102784902228
2017-09-28,54.75,54.8,53.61,53.64,53.381435197817
2017-09-27,52.85,53.08,51.55,52.15,51.898617553433
2017-09-26,52.62,53.3,52.59,52.85,52.595243292406
2017-09-25,52.46,52.78,52.3144,52.61,52.356400181901
2017-09-22,51.51,52.58,51.5,52.51,52.256882219191
