ticker,date,adj_close
MO,2018-02-28,62.95
LNT,2018-02-28,38.65
GOOGL,2018-02-28,1103.92
GOOG,2018-02-28,1104.73
ATVI,2018-02-28,73.13
ARE,2018-02-28,121.31
APD,2018-02-28,160.79
AMZN,2018-02-28,1512.45
AMG,2018-02-28,189.36
AMD,2018-02-28,12.11
ALXN,2018-02-28,117.45
ALLE,2018-02-28,84.11
ALL,2018-02-28,92.26
ALK,2018-02-28,64.5
ALGN,2018-02-28,262.52
ALB,2018-02-28,100.43
AKAM,2018-02-28,67.46
AGN,2018-02-28,154.22
AFL,2018-02-28,88.88
AET,2018-02-28,177.06
AES,2018-02-28,10.87
ADS,2018-02-28,240.96
ADBE,2018-02-28,209.13
ACN,2018-02-28,161.01
ABT,2018-02-28,60.33
ABMD,2018-02-28,268.18
ABBV,2018-02-28,115.83
AAP,2018-02-28,114.25
A,2018-02-28,68.59
