ticker,date,adj_close
XRAY,2018-02-28,56.06
XOM,2018-02-28,75.74
XEC,2018-02-28,96.09
USB,2018-02-28,54.36
ULTA,2018-02-28,203.35
UDR,2018-02-28,33.62
UAA,2018-02-28,16.58
UA,2018-02-28,15.05
TXT,2018-02-28,59.85
TXN,2018-02-28,108.35
TWTR,2018-02-28,31.86
TTWO,2018-02-28,111.87
TSS,2018-02-28,87.95
TSN,2018-02-28,74.38
TSCO,2018-02-28,64.93
TRV,2018-02-28,139.0
TROW,2018-02-28,111.9
TRIP,2018-02-28,40.08
TPR,2018-02-28,50.91
TMO,2018-02-28,208.58
TMK,2018-02-28,85.37
TJX,2018-02-28,82.68
TIF,2018-02-28,101.04
TGT,2018-02-28,75.41
TEL,2018-02-28,103.09
TDG,2018-02-28,288.31
TAP,2018-02-28,76.25
T,2018-02-28,36.3
SYY,2018-02-28,59.65
SYMC,2018-02-28,26.29
SYK,2018-02-28,162.16
SYF,2018-02-28,36.39
SWKS,2018-02-28,109.25
SWK,2018-02-28,159.19
STZ,2018-02-28,215.48
STX,2018-02-28,53.4
STT,2018-02-28,106.15
STI,2018-02-28,69.84
SRE,2018-02-28,108.98
SRCL,2018-02-28,62.67
SPGI,2018-02-28,191.8
SPG,2018-02-28,153.51
SO,2018-02-28,43.06
SNPS,2018-02-28,84.67
SNA,2018-02-28,159.22
SLG,2018-02-28,96.92
SLB,2018-02-28,65.64
SJM,2018-02-28,126.3
SIVB,2018-02-28,248.98
SHW,2018-02-28,401.58
SEE,2018-02-28,42.37
SCHW,2018-02-28,53.02
SCG,2018-02-28,39.67
SBUX,2018-02-28,57.1
SBAC,2018-02-28,157.27
RTN,2018-02-28,217.51
RSG,2018-02-28,67.18
ROST,2018-02-28,78.09
ROP,2018-02-28,275.09
ROK,2018-02-28,180.8
RMD,2018-02-28,95.27
RL,2018-02-28,105.84
RJF,2018-02-28,92.71
RHT,2018-02-28,147.4
RHI,2018-02-28,57.07
RF,2018-02-28,19.41
REGN,2018-02-28,320.44
REG,2018-02-28,58.11
RE,2018-02-28,240.24
RCL,2018-02-28,126.6
QRVO,2018-02-28,80.71
QCOM,2018-02-28,65.0
PYPL,2018-02-28,79.41
PXD,2018-02-28,170.23
PX,2018-02-28,149.75
PWR,2018-02-28,34.44
PVH,2018-02-28,144.28
PSX,2018-02-28,90.37
PSA,2018-02-28,194.44
PRU,2018-02-28,106.32
PRGO,2018-02-28,81.46
PPL,2018-02-28,28.65
PPG,2018-02-28,112.44
PNW,2018-02-28,76.96
PNR,2018-02-28,68.69
PNC,2018-02-28,157.66
PM,2018-02-28,103.55
PLD,2018-02-28,60.68
PKI,2018-02-28,76.34
PKG,2018-02-28,119.2
PHM,2018-02-28,28.07
PH,2018-02-28,178.47
PGR,2018-02-28,57.58
PG,2018-02-28,78.52
PFG,2018-02-28,62.33
PFE,2018-02-28,36.31
PEP,2018-02-28,109.73
PEG,2018-02-28,48.43
PCG,2018-02-28,41.09
PCAR,2018-02-28,71.59
PBCT,2018-02-28,19.14
PAYX,2018-02-28,65.13
OXY,2018-02-28,65.6
ORLY,2018-02-28,244.19
ORCL,2018-02-28,50.67
OMC,2018-02-28,76.23
OKE,2018-02-28,56.33
O,2018-02-28,49.18
NWSA,2018-02-28,16.13
NWS,2018-02-28,16.4
NWL,2018-02-28,25.69
NVDA,2018-02-28,242.0
NUE,2018-02-28,65.4
NTRS,2018-02-28,105.87
NTAP,2018-02-28,60.55
NSC,2018-02-28,139.08
NRG,2018-02-28,25.86
NOV,2018-02-28,35.09
NOC,2018-02-28,350.04
NLSN,2018-02-28,32.63
NKTR,2018-02-28,86.56
NKE,2018-02-28,67.03
NI,2018-02-28,23.13
NFX,2018-02-28,23.33
NFLX,2018-02-28,291.38
NEM,2018-02-28,38.2
NEE,2018-02-28,152.15
NDAQ,2018-02-28,80.75
NCLH,2018-02-28,56.9
NBL,2018-02-28,29.83
MYL,2018-02-28,40.32
MU,2018-02-28,48.81
MTD,2018-02-28,616.22
MTB,2018-02-28,189.84
MSI,2018-02-28,106.15
MSFT,2018-02-28,93.77
MSCI,2018-02-28,141.52
MS,2018-02-28,56.02
MRO,2018-02-28,14.52
MRK,2018-02-28,54.22
MPC,2018-02-28,64.06
MOS,2018-02-28,26.32
MO,2018-02-28,62.95
MNST,2018-02-28,63.37
MMC,2018-02-28,83.02
MLM,2018-02-28,203.93
MKC,2018-02-28,106.78
MHK,2018-02-28,239.88
MGM,2018-02-28,34.23
MET,2018-02-28,46.19
MDT,2018-02-28,79.89
MDLZ,2018-02-28,43.9
MCO,2018-02-28,166.88
MCK,2018-02-28,149.23
MCHP,2018-02-28,88.93
MCD,2018-02-28,157.74
MAT,2018-02-28,15.9
MAS,2018-02-28,41.12
MAR,2018-02-28,141.21
MAC,2018-02-28,58.94
MAA,2018-02-28,85.82
MA,2018-02-28,175.76
M,2018-02-28,29.41
