Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,12.88,12.88,12.63,12.67,12.550378,44837000
2018-09-05,12.45,12.58,12.24,12.56,12.441417,55071600
2018-09-06,12.5,12.8,12.5,12.51,12.391889,40619800
2018-09-07,12.39,12.44,12.27,12.4,12.282927,45867200
2018-09-10,12.36,12.7,12.35,12.51,12.391889,43374700
2018-09-11,12.44,12.47,12.23,12.33,12.213588,40153900
2018-09-12,12.3,12.63,12.23,12.61,12.490944,40185600
2018-09-13,12.67,12.75,12.43,12.71,12.59,54674800
2018-09-14,12.53,12.75,12.38,12.68,12.68,69969800
2018-09-17,12.61,12.89,12.6,12.7,12.7,50671600
2018-09-18,12.67,12.75,12.56,12.66,12.66,42892800
2018-09-19,12.62,12.99,12.56,12.86,12.86,62102100
2018-09-20,12.59,12.69,12.36,12.46,12.46,88325600
2018-09-21,12.4,12.56,12.16,12.17,12.17,95419100
