Symbol,Price
A,70.650452
AAL,41.5
AAP,169.78999299999995
AAPL,224.949997
ABBV,94.139999
ABC,91.150002
ABMD,442.89001500000006
ABT,73.019997
ACN,170.050003
ADBE,269.910004
ADI,92.18
ADM,49.450001
ADP,149.910004
ADS,236.240005
ADSK,156.0
AEE,62.57
AEP,69.760002
AES,13.7
AET,202.679993
AFL,47.049999
AGN,190.529999
AIG,53.389999
AIV,43.41
AIZ,106.290001
AJG,74.449997
AKAM,72.410004
ALB,100.949997
ALGN,389.970001
ALK,68.980003
ALL,98.150002
ALLE,89.989998
ALXN,138.270004
AMAT,38.349998
AMD,32.59
AME,78.93
AMG,138.199997
AMGN,208.889999
AMP,148.990005
AMT,143.389999
AMZN,2012.97998
ANET,265.329987
ANSS,186.399994
ANTM,271.640015
AON,155.679993
AOS,54.099998
APA,47.43
APC,66.5
APD,167.419998
APH,93.470001
APTV,84.139999
ARE,122.730003
ARNC,21.92
ATVI,82.870003
AVB,177.729996
AVGO,246.449997
AVY,107.82
AWK,86.959999
AXP,107.462158
AZO,779.780029
BA,367.390015
BAC,29.940001
BAX,76.599998
BBT,48.900002
BBY,78.260002
BDX,259.98999
BEN,31.030001
BHF,44.18
BHGE,33.830002
BIIB,355.600006
BK,51.540001
BKNG,1969.339966
BLK,477.89001500000006
BLL,44.139999
BMY,61.55447
BR,131.240005
BSX,38.34
BWA,42.77
BXP,120.720001
C,72.949997
CA,44.009998
CAG,32.98
CAH,53.583999999999996
CAT,152.470001
CB,133.369995
CBOE,97.760002
CBRE,44.200001
CBS,56.549999
CCI,108.919998
CCL,63.740002
CDNS,45.009998
CELG,89.25
CERN,64.209999
CF,53.77
CFG,38.93
CHD,58.889999
CHRW,97.389999
CHTR,325.070007
CI,206.350006
CINF,76.519997
CL,66.730003
CLX,149.279999
CMA,91.010002
CMCSA,35.031605
CME,171.929993
CMG,465.39999400000005
CMI,147.190002
CMS,48.32
CNC,143.220001
CNP,27.42
COF,95.459999
COG,22.969999
COL,139.910004
COO,275.329987
COP,77.519997
COST,234.0
COTY,12.55
CPB,36.517982
CPRT,51.119999
CRM,160.429993
CSCO,48.00544
CSX,74.209999
CTAS,197.589996
CTL,20.889999
CTSH,76.760002
CTXS,110.889999
CVS,78.760002
CVX,122.470001
CXO,151.440002
D,69.139999
DAL,58.0
DE,151.220001
DFS,77.099998
DG,108.86692
DGX,106.745247
DHI,41.830002
DHR,108.18
DIS,116.040001
DISCA,31.91
DISCK,29.42
DISH,35.48
DLR,111.599998
DLTR,82.08000200000002
DOV,88.980003
DRE,27.709999
DRI,110.509644
DTE,107.410004
DUK,78.940002
DVA,71.239998
DVN,39.380001
DWDP,65.33000200000001
DXC,93.730003
EA,119.379997
EBAY,33.34
ECL,156.830002
ED,75.199997
EFX,130.389999
EIX,66.660004
EL,144.119995
EMN,96.75
EMR,76.790001
EOG,127.0
EQIX,430.14999400000005
EQR,64.949997
EQT,44.709999
ES,60.560001
ESRX,94.809998
ESS,241.889999
ETFC,52.779999
ETN,86.760002
ETR,79.93
EVRG,54.310001
EW,172.160004
EXC,42.810001
EXPD,72.660004
EXPE,131.5
EXR,85.529999
F,9.23
FAST,58.07
FB,168.839996
FBHS,53.209999
FCX,13.87
FDX,240.699997
FE,36.529999
FFIV,196.740005
FIS,108.769997
FISV,81.629997
FITB,27.940001
FL,50.630001
FLIR,61.009998
FLR,58.369999
FLS,54.84
FLT,227.419998
FMC,87.699997
FOX,45.490002
FOXA,45.84
FRT,124.209999
FTI,31.27
FTNT,91.760002
FTV,84.639999
GD,201.166458
GE,11.53
GILD,76.58000200000002
GIS,42.555012
GLW,35.389999
GM,33.669998
GOOG,1194.640015
GOOGL,1207.359985
