Date,Open,High,Low,Close,Adj Close
1794,1797,1814,1817,1817,1759
1771,1786,1820,1762,1808,1815
1789,1796,1787,1775,1822,1759
1770,1819,1797,1814,1799,1779
1769,1769,1764,1789,1782,1815
1759,1807,1782,1781,1824,1773
1785,1805,1778,1784,1750,1750
1786,1803,1755,1788,1767,1754
1792,1808,1781,1751,1815,1791
1807,1785,1761,1796,1750,1764
1803,1762,1792,1818,1756,1818
1797,1753,1802,1765,1770,1808
1773,1763,1798,1799,1819,1791
1785,1814,1819,1750,1800,1786
1784,1798,1753,1792,1771,1823
1750,1760,1793,1808,1773,1809
1752,1812,1785,1817,1796,1770
1800,1777,1764,1791,1808,1815
1786,1760,1793,1761,1752,1801
1782,1804,1750,1788,1769,1796
