Date,Open,High,Low,Close,Adj Close
202,195,190,193,201,193
197,199,193,195,192,194
197,196,198,198,202,200
191,196,197,197,204,198
191,195,199,203,198,199
194,193,190,193,195,204
190,192,193,198,191,193
203,193,193,204,197,190
191,199,199,190,200,194
197,193,204,201,192,197
202,192,190,190,194,195
195,196,198,194,191,194
199,200,200,198,191,191
197,199,199,193,196,197
201,204,192,201,190,204
193,195,202,199,200,194
201,194,196,194,194,193
202,194,194,198,204,194
193,200,197,203,195,195
190,191,195,199,193,190
