Date,Open,High,Low,Close,Adj Close
363,344,318,349,357,328
363,354,336,324,315,325
365,358,338,317,349,350
345,318,333,361,350,335
332,365,342,329,356,316
351,325,337,358,355,326
317,366,331,347,369,315
353,334,361,357,366,355
328,345,339,317,318,345
349,358,328,363,355,323
334,346,323,341,317,367
318,359,329,347,319,318
360,326,337,328,360,326
331,339,344,336,361,340
331,369,368,334,348,355
347,351,321,336,346,328
322,339,330,356,333,355
369,330,326,353,362,344
316,346,369,359,339,339
318,333,362,318,357,327
