Date,Open,High,Low,Close,Adj Close
235,243,236,248,227,227
228,228,243,239,228,245
242,243,239,234,226,229
235,247,236,233,236,227
244,241,225,247,225,231
244,239,235,244,249,233
238,249,227,228,227,236
238,241,233,233,244,233
227,249,245,228,237,239
225,229,228,238,236,247
238,238,236,249,241,249
246,239,241,247,246,244
226,233,225,229,231,246
238,232,249,249,240,234
243,233,247,240,236,231
240,226,247,237,249,249
228,243,240,228,235,237
231,228,247,230,248,236
225,236,233,245,235,247
236,230,240,233,227,244
