Date,Open,High,Low,Close,Adj Close
262,265,271,250,253,277
253,257,259,269,271,268
254,273,256,274,274,262
276,251,256,257,273,264
274,267,255,275,263,258
259,270,269,266,269,255
265,265,250,268,253,274
267,269,279,269,269,264
257,250,251,259,275,250
260,270,273,253,261,268
273,278,252,250,250,254
271,255,256,258,270,267
265,254,259,260,276,274
251,251,257,259,275,253
256,273,261,264,268,277
250,264,253,271,262,275
260,270,261,254,256,254
265,270,253,262,254,270
258,264,265,270,253,276
273,265,263,271,271,266
